Category,Location,Title,Compensation,Type,Url,Description
software / qa / dba,sfbay,"Software Engineer, Vocabulary.com",Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/san-mateo-software-engineer/7315085788.html,"     Millions of people a month use Vocabulary.com to look up definitions and improve their vocabulary through adaptive quizzes, Vocabulary Jam contests, and the annual Vocabulary Bowl, a worldwide competition for students in grades 5 through 12.  We are seeking Software Engineers who have a passion for technology and education to help us attain our ambitious plans for Vocabulary.com.  WHAT YOU'LL BE DOING  Work with a team of talented engineers, both starting projects from scratch and also working within the existing code base Build the back-end wiring, application logic, and UI for our products Provide accurate estimates, evaluate feasibility, and assess new platforms and technologies for project implementations Collaborate and communicate clearly across multiple development teams to design and release amazing products  WHAT WE'RE LOOKING FOR  2+ years of experience in software engineering Bachelor's or advanced degree in Computer Science or a related discipline Excellent programming skills in Java or other object-oriented language Strong communication skills Strong analytical-reasoning and problem-solving skills Modern best practices in Javascript, HTML, and CSS Knowledge of MongoDB and Amazon Web Services (AWS) is a plus Passion for improving education through technology  ABOUT IXL  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,"Software Engineer, IXL Product",Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/san-mateo-software-engineer-ixl-product/7315085105.html,"     IXL Learning, a leading edtech company with products used by 12 million students worldwide, is seeking Software Engineers with a passion for technology and education to help us build new, innovative products and create more features for our extremely successful educational products.  The IXL Product Engineering team develops the user-facing features of the website and the back-end code that connects these features to our databases and other services. We created and maintain the practice engine, where students answer the questions created by the Content team; Analytics, which turns practice data into actionable information for teachers; the Recommendations area, which suggests skills for students to try next; and much more. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.  International candidates encouraged to apply; H1B sponsorship is available.  WHAT YOU'LL BE DOING  As a Software Engineer on the IXL Product Engineering team, you will build the back-end wiring, application logic, and UI that drive the site. You will find and use the best technologies to add features to our products as well as to create new products. You’ll be involved in all aspects of the development process – including design, coding, testing, debugging, and tuning. In addition to working with your fellow engineers, you’ll collaborate with other teams to design amazing products that meet the needs of our users, who are students and teachers all over the world.   TECHNOLOGY  Our server-side stack includes Linux, Apache, Java, and Oracle. The front-end code is written in JavaScript, often using React.  WHAT WE'RE LOOKING FOR  1+ years of experience in software engineering Bachelor's or advanced degree in computer science or a related discipline A solid grasp of general programming principles Excellent programming skills in Java or other object-oriented language Ability to work both independently and with a wide variety of teams Knowledge of Unix, Java, SQL, JavaScript, CSS, or source control is a plus Passion for improving education through technology  ABOUT IXL LEARNING  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,"Software Engineer - Full-Stack, IXL Business Platform",Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/san-mateo-software-engineer-full-stack/7315084346.html,"     IXL Learning, a leading edtech company with products used by 12 million students worldwide, is seeking Full-Stack Software Engineers who have a passion for technology and education to help us add new features to our extremely successful educational products and build new, innovative products.  The Business Platform team is responsible for code and tools needed to support our subscription-based business model. IXL's customer and support teams rely on the business platform daily as they work with customers. Our team is responsible for core user data, as well as account and product access provisioning. To support these goals, we build out integrations with databases and other systems used by our largest customers. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.  International candidates encouraged to apply; H1B sponsorship is available.  WHAT YOU'LL BE DOING  As a Full-Stack Software Engineer, you will build the back-end wiring, application logic, and UI that drive the site. You will find and use the best technologies to add features to our products, as well as to create new products. You’ll be involved in all aspects of the development process and contribute to the entire code base – including design, coding, testing, debugging, and tuning. In addition to working with your fellow engineers, you’ll collaborate with other teams to design amazing products that meet the needs of our users, who are students and teachers all over the world.  TECHNOLOGY  Our server-side stack currently includes Linux, Apache, Java, Scala, Python, and Oracle. Inside browsers, we use a fair amount of JavaScript and CSS. Of course, the specific technologies and languages you use will vary by project and according to your own interests or specialization areas.  WHAT WE'RE LOOKING FOR  1+ years of experience in software engineering Bachelor's or advanced degree in computer science or a related discipline A solid grasp of general programming principles Excellent programming skills in Java or other object-oriented language Ability to work both independently and with a wide variety of teams Knowledge of Unix, Java, SQL, JavaScript, CSS, or source control is a plus Passion for improving education through technology  ABOUT IXL LEARNING  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,"Software Engineer, Core Technology",Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/san-mateo-software-engineer-core/7315083617.html,"     IXL Learning, a leading edtech company with products used by 12 million students worldwide, is seeking Software Engineers who have a passion for technology and education to help us build and maintain the core infrastructure for our extremely successful educational products.  The Core Technology team is responsible for researching, implementing, and maintaining back-end frameworks and server-side technologies used by our engineers and applications. The team also monitors and ensures all production and development environments are stable and provides support to other team members with the whole development cycle. Source control, the build and runtime system, as well as deployments, are all responsibilities of the Core Technology team.  As a Software Engineer on our Core Technology team, you’ll work closely with our product teams and have visibility to all parts of our code and products, focusing on performance, uptime, scalability, and reliability. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.  International candidates encouraged to apply; H1B sponsorship is available.  WHAT YOU'LL BE DOING  Design, build, and maintain scalable and robust infrastructure and services for all of our products Participate in live performance monitoring, which includes building the tools that allow us to detect and address trouble spots Troubleshoot and fix production performance and security issues Develop tools, procedures, and documentation to improve team efficiency   TECHNOLOGY  The Core Technology team contributes to our Java-based code base, especially for back-end code, as well as configuring our web stack (Apache, Tomcat, Struts, Hibernate). Our servers run RedHat Linux and some amount of administration is done on the systems. We use a variety of storage technologies, which we configure and run, including Cassandra, Oracle, Redis, S3, and Zookeeper. Python and Perl scripting are used extensively for our build and deployment systems. An ever-increasing portion of our infrastructure is moving to EC2. So, AWS technologies are also utilized. We use Jenkins and crontab for CI. We investigate and implement new technologies all the time, and this list is always growing.  WHAT WE'RE LOOKING FOR  Bachelor's or advanced degree in computer science or a related discipline 2+ years of experience in software engineering Knowledge of Release Management Excellent programming skills Strong analytical-reasoning and problem-solving skills Ability to work both independently and with a wide variety of teams Passion for improving education through technology  ABOUT IXL LEARNING  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,Mobile Engineering Manager,Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/hayward-mobile-engineering-manager/7315081261.html,"     IXL Learning, a leading edtech company with products used by 12 million students worldwide, is seeking an Engineering Manager to lead its mobile development. The IXL Mobile team is responsible for one of the best educational apps on the market today, available on both iOS and Android Platforms.  As a key leader and manager of the Mobile team, you will participate directly in software design and engineering, help develop the team by mentoring and coaching, and create processes that ensure productivity and efficiency.  WHAT YOU'LL BE DOING  Lead and mentor a team of talented mobile engineers, both to start projects from scratch as well as to work with the existing code base Drive the development process for your team, including design, coding, documentation, testing, debugging, and tuning Coordinate with project managers, designers, and QA to facilitate clear communication and provide excellent direction and motivation to the team Ship successful iOS and Android applications Provide accurate estimates, evaluate feasibility, and assess new platforms and technologies for application technology and architecture Collaborate and communicate clearly across multiple development teams to design and release amazing applications Participate in recruiting top software engineers to join our team  WHAT WE'RE LOOKING FOR  Bachelor's or advanced degree in computer science or a related discipline 5+ years of experience in software engineering and 2+ years leadership experience Experience recruiting, sourcing and building a top performing mobile team Expert level skills in iOS and/or Android development  ABOUT IXL LEARNING  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,"Front-End Software Engineer, IXL Product",Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/san-mateo-front-end-software-engineer/7315080619.html,"     IXL Learning, a leading edtech company with products used by 12 million students worldwide, is seeking Front-End Engineers to provide the face of the IXL product.  The IXL Product Engineering team develops the user-facing features of the website and the back-end code that connects these features to our databases and other services. We created and maintain the practice engine, where students answer the questions created by the Content team; Analytics, which turns practice data into actionable information for teachers; the Recommendations area, which suggests skills for students to try next; and much more. You will utilize cutting-edge technologies like React to bring dynamic, user-facing components to life. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team. At IXL, we believe that building a creative and engaging user experience is invaluable to our mission of improving education through technology.   International candidates encouraged to apply; H1B sponsorship is available.  WHAT YOU'LL BE DOING  Take control of the whole front-end development process from code design to implementation Collaborate with product managers to build a world-class user experience Tackle tough design challenges to create reusable user interfaces while writing clean, scalable code Engineer the front-end architecture that powers our web application Discover new technologies and establish best practices as the front-end landscape evolves   WHAT WE'RE LOOKING FOR  1+ years of experience in software engineering Bachelor's or advanced degree in computer science or a related discipline Expertise in HTML, CSS, JavaScript Familiarity with at least one JavaScript library or framework (e.g., React, Angular, Ember) Passion for new technologies, current trends, and best practices in front-end architecture, including performance, accessibility, security, and usability Enthusiasm for improving education through technology  ABOUT IXL LEARNING  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,Build/Release & Test Environment Engineer,Competitive salary and benefits, full-time,https://sfbay.craigslist.org/pen/sof/d/san-mateo-build-release-test/7315079819.html,"     IXL Learning, a leading edtech company with products used by 12 million students worldwide, is seeking an experienced Software Engineer who has a passion for technology and education to help us build a first-rate delivery pipeline for our extremely successful educational products.  As a Software Engineer on our Release Management team, you will implement and manage the release processes across IXLs products. Your team will own the Release Management life cycle, providing the tools and services needed for our development teams to seamlessly manage and deploy code to our users. You will collaborate with our development teams to manage project interdependencies, meet delivery goals, and measure success. We find it immensely satisfying to develop products that impact the lives of millions, and we are eager to have you join our team.  International candidates encouraged to apply; H1B sponsorship is available.  What You'll Be Doing  Manage the technical design, engineering from coding to QA, and deployment for our IXL’s products. Build automated release pipelines that package, test and deploy code Improve and adapt our release processes to changing business needs Own the source control system, third-party repositories, build system, and release data system Work cross-functionally with our Engineering, Product Management, QA, and Design teams to maintain and communicate a clear release schedule and ensure successful deployments   What We're Looking For  Bachelor's or advanced degree in computer science or a related discipline 2+ years of experience in software engineering Knowledge of Release Management Excellent programming skills Strong analytical-reasoning and problem-solving skills Ability to work both independently and with a wide variety of teams Passion for improving education through technology  About IXL  IXL Learning is a leading educational technology company on a big mission: creating innovative learning experiences that help all learners reach their full potential. IXL's comprehensive curriculum and insightful analytics help more than 500,000 teachers deliver personalized instruction and empower over 12 million students to achieve new learning milestones every day.  At IXL, we’re passionate about our mission of creating the best educational technology that improves learning for all students. We bring that same passion to creating a workplace that values diversity on the basis that all of us bring a unique perspective and experience that advances IXL’s mission.  We strive to increase diversity in race, ethnicity, gender, age, sexual orientation, and physical or mental ability and to continually promote a work environment where everyone, from any background, can do their best work. Click here to apply "
software / qa / dba,sfbay,Software engineer to join startup matching unemployed with careers,110-150K/year DOE.  This is a contract-to-hire position.  (We we are currently in the process of fundraising), full-time,https://sfbay.craigslist.org/sby/sof/d/san-jose-software-engineer-to-join/7314983259.html,"     We are seeking a backend engineer (or full stack engineer) for our next big project. Our current site is built on a LAMP stack (Laravel/Linux, Apache, MySQL using PHP 8/OOP code). Everything is hosted by Amazon Web Services using Auth0 as a remote authentication service. We need to rebuild a new site using JS with node.js/express.js talking to mongo DB (using Mongoose ODM) exposing microservices to a React.js app. We will be using AWS Cognito for authentication.  Although most of our server infrastructure remains traditional linux based, it will utilize AWS Lambda (serverless architecture and deployment) for some backend jobs to run on exposed lambda APIs.  We will have our current and next site directly help the unemployed, veterans parolees, students and people in-between careers or COVID unemployed get matched by a proven psychometrically short color test. This is a remote position only during a three month contract period during COVID, once COVID is resolved and the country reaches heard immunity, it will be an in-house role in our offices somewhere on Santana Row. As mentioned, this will be a contract-to-hire position to start with for the first three months - we want to make sure you are a good fit as we want to build a great culture. We we are currently in the process of fundraising (series A or angel investment).   Benefits incl - (Medical, Dental, Vision etc.)  Education budget  Flexable time  Flexable day  6hr workday (after contract)  Every third Friday off  Paid Bail if arrested for peaceful protesting (Human rights, Gay Rights, Racial rights, Environmental rights)  Profit-sharing program   "
software / qa / dba,sfbay,Software Engineer (Full Stack) - Education Equity Startup (3rd hire!),"$75,000 - $150,000 + Significant Equity", full-time,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-software-engineer-full/7314610720.html,"     We are building a platform for equity - join us! We're looking for a full stack engineer to join our core team. As our 2nd developer and 3rd FTE hire, you'll have a major role in shaping our vision, strategy, culture, product, and code.  APPLY  https://jobs.lever.co/avela/53a20cb0-ae0d-4821-a850-c31a40804312?lever-origin=applied&lever-source%5B%5D=Craigslist  COMPANY  Avela is a platform for organizations and governments to run markets to equitably allocate resources and opportunities. Learn more at https://avela.org/.  Our mission is to more equitably and efficiently distribute opportunity. We believe the right person in the right position will change the world. And similarly, the right opportunity or school for the right individual could change their live.  Our clients use our tool to match individuals to these opportunities. Examples include assigning students to schools, graduate students to fieldwork, medical residents to hospitals, patients to treatments or doctors, employees to teams, consultants to clients, volunteers to projects, etc. Before Avela, these opportunities were allocated through a combination of manual processes, spreadsheets, and trial-and-error - rife with implicit bias and questionable outcomes.   TEAM  We are a passionate team of entrepreneurs, engineers, economists, and data scientists - get to know us at https://avela.org/team.    PRODUCT  The Avela platform is a web dashboard that uses Nobel Prize winning algorithms to equitably allocate opportunity given a set of preferences and configuration. We’re expanding our capabilities to offer a set of algorithms for various use cases, and to leverage machine learning to infer preferences and recommend matches.    ROLE  We are an early-stage startup looking for our second engineering member, and can only consider candidates with 4+ years of experience at this time. We offer higher equity and a lower salary than a larger company.  As the second technical hire, you have an opportunity to influence the vision of the product and culture we are creating together. Come build something out of nothing with us!   RESPONSIBILITIES  -- Develop groundbreaking software: Establish the technical architecture and guidelines for a scalable application. -- Develop the back-end and front-end of the first MVP with your preferred stack. -- Explore product-market fit: Explore product-market opportunities and co-create products with our  customers. We’ll work directly with our customers in early pilots to build early prototypes and MVPs.  We’ll constantly iterate and expand our base until we’ve landed on a groundbreaking product that we can sell to thousands of school districts and impact millions of students. -- Partner to grow our customer base and delight our customers: Help promote and sell our products, including joining or leading sales conversations, developing and leading customer demos, helping to create product marketing collateral, and more. Offering technical support for our customers. Until we grow our customer success team, we’ll need help from the entire engineering team to support our customers with technical issues.   QUALIFICATIONS  -- 4+ years of experience building software -- 4+ years front-end development experience with modern JS development frameworks (React / Vue / Angular) -- 4+ years back-end development experience, relational database modeling -- Testing / CI / CD -- Machine learning experience a plus -- Startup experience a plus -- Enterprise software / B2B experience a plus -- Passion for education, equity, or social impact -- Entrepreneurial spirit and drive -- Growth mindset and desire to constantly improve -- Legal ability to work in the US, based in the USA.   TECH STACK  -- ReactJS frontend -- Ruby on Rails JSON API -- Postgres database -- AWS CDK (IaC) in Typescript -- AWS ECS, RDS, Lambda, Amplify   LOCATION  We are a flexible, remote-friendly culture. This role will work closely with customers, so we prefer candidates living in the Americas or willing to work continental US hours. #LI-Remote   BENEFITS   Significant equity, passionate team, flexible work policies, and full health benefits. Learn more at avela.org/careers.   APPLICATION INSTRUCTIONS  Do not email. Please apply online at: https://jobs.lever.co/avela/53a20cb0-ae0d-4821-a850-c31a40804312?lever-origin=applied&lever-source%5B%5D=Craigslist "
software / qa / dba,sfbay,Part-time REMOTE Coding Tutors (Highschool AP Comp. Sci min req.),TBD - depends on experience, part-time,https://sfbay.craigslist.org/eby/sof/d/pleasanton-part-time-remote-coding/7314549026.html,"     Are you an energetic individual with decent coding and/or game dev experience?  No matter how beginner or advanced, we'll always pair you with students with a similar skill level with an interest in the technologies that you know!   Currently we are looking specifically for individuals with one(or more) of the following:    * Roblox/Minecraft gaming and development/modding experience. C#/Unity/Godot and other Game Dev or coding experience is a plus, not a requirement!  * Python / Javascript / Web dev. / Etc. other general programming experience * Scratch  * FUN with kids! You'll have opportunities to train and resources to become a better coder, but we cannot train fun!  Who We Are ---------------- theCoderSchool is an after-school drop-off program for kids learning to code. We provide a fun, energetic, and inspirational environment to bring out that inner hacker in all kids! The future will be ever more dependent on technology so let's get our young generation ready. Learn to Code, Change the World.  http://pleasanton.thecoderschool.com  Job Summary ----------------- You will teach the incredible kids of our community how to code - and how to think like a coder - and be rewarded with an amazing experience. You'll build fun projects with them, teaching them   This is a part-time position for anywhere from 5-15 hours/week (same times weekly), depending on your schedule and availability.  These hours can generally be sometime between 2-8 pm weekdays and 9am - 4 pm on Saturday or Sunday.   Responsibilities ------------------- A Code Coach is a mentor who teaches kids how to code.  We teach students One-on-one or one-on-two coding lessons for kids. Younger students will be taught in Scratch, while older students gravitate towards more advanced platforms. The kids will generally create projects that you decide with them and generally follow our curriculum.  "
